name,data,quote_text,status,url
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","Hoje, das 100 melhores escolas públicas do país, 82 estão no Ceará. — Fernando Haddad, em seu ",IMPRECISO,https://www.aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","O que nos separa da vitória são oito ou nove pontos para afastar esse fantasma. — Fernando Haddad, em seu ",IMPRECISO,https://www.aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","Só 8% dos homicídios levam alguém pra cadeia. — Fernando Haddad, em entrevista ao ",IMPRECISO,https://www.aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","O Aloizio Mercadante, ministro da Educação, mobilizou estados e municípios para que fosse incluído no plano estadual ou no plano municipal a ideologia de gênero. — Jair Bolsonaro (PSL), em ",FALSO,https://www.aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
"Mourão diz que legalizar droga não reduz crime, mas dados são inconclusivos","14 de novembro de 2018, 16h38",Onde foram liberadas [as drogas] os problemas continuam acontecendo.,INSUSTENTÁVEL,https://www.aosfatos.org/noticias/mourao-diz-que-legalizar-droga-nao-reduz-crime-mas-dados-sao-inconclusivos/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","[Só neste ano] ultrapassam 1,5 milhão de postos de trabalho [criados].",EXAGERADO,https://www.aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","Só neste ano, já chegou a quase 800 mil carteiras assinadas.",EXAGERADO,https://www.aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","Portanto, uma recuperação da economia e recuperação do trabalho, em função da modernização trabalhista.",EXAGERADO,https://www.aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Checamos o que Flávio Bolsonaro disse sobre segurança pública em entrevista à GloboNews,"6 de dezembro de 2018, 14h39","Hoje muitas condenações de crimes, que são crimes violentos, por terem uma pena mínima muito baixa, acabam sendo transformados em punições de prestações de serviços, por exemplo.",INSUSTENTÁVEL,https://www.aosfatos.org/noticias/checamos-o-que-flavio-bolsonaro-disse-sobre-seguranca-publica-em-entrevista-globonews/
"Na TV, Flávio Bolsonaro alega perseguição com informações falsas","21 de janeiro de 2019, 20h05","Ninguém dá atenção para os outros casos de parlamentares com assessores que movimentaram R$ 49 milhões. — Flávio Bolsonaro (PSL-RJ), em ",FALSO,https://www.aosfatos.org/noticias/na-tv-flavio-bolsonaro-alega-perseguicao-com-informacoes-falsas/
"Divulgado pelo Planalto, vídeo sobre golpe de 1964 traz série de distorções históricas","1 de abril de 2019, 20h40",Era sim um tempo de medo e ameaças. Ameaça daquilo que os comunistas faziam onde era imposto sem exceção: prendiam e matavam seus próprios compatriotas.,FALSO,https://www.aosfatos.org/noticias/divulgado-pelo-planalto-video-sobre-golpe-traz-serie-de-distorcoes-historicas/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","“Segundo a Veja, está publicado aqui, quem vazou esse processo para a Globo foi o seu governador [do RJ, Wilson] Witzel”",FALSO,https://www.aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá passando fome.",INSUSTENTÁVEL,https://www.aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá desempregado",INSUSTENTÁVEL,https://www.aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","O óleo já foi recolhido. Hoje eu acredito que não tenha mais nenhuma praia suja no Nordeste. — Vice-presidente Hamilton Mourão, em ",FALSO,https://www.aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","Cerca de 90% do litoral nordestino sequer foi atingido [pelas manchas de óleo]. — Ministro do Turismo, Marcelo Álvaro Antônio, em ",FALSO,https://www.aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
